iter	RMSE
0	8.551639024
1	7.401046215
2	6.843825261
3	6.615117481
4	6.478804667
5	6.422429068
6	6.383922957
7	6.37136273
8	6.357578011
9	6.348382436
10	6.335684051
11	6.329770283
12	6.327101922
13	6.324031385
14	6.321526033
15	6.318668127
16	6.316255373
17	6.31507774
18	6.312416785
19	6.311237165
20	6.307854224
21	6.304113862
22	6.302259888
23	6.298708831
24	6.298599522
25	6.29478169
26	6.290194023
27	6.28688709
28	6.286406443
29	6.283528143
30	6.280904059
31	6.278153756
32	6.277946665
33	6.275620868
34	6.273007113
35	6.270308462
36	6.267356045
37	6.266763856
38	6.266491808
39	6.265216514
40	6.263638312
41	6.261404242
42	6.260121524
43	6.258831486
44	6.256136792
45	6.253408098
46	6.252309755
47	6.251104614
48	6.249073183
49	6.247478172
50	6.246523088
51	6.24457264
52	6.242476678
53	6.240634085
54	6.240015614
55	6.237340485
56	6.234981545
57	6.233706514
58	6.231440376
59	6.230695662
60	6.229016134
61	6.228476003
62	6.226244721
63	6.225407039
64	6.225167215
65	6.223691576
66	6.222734803
67	6.222595829
68	6.221219514
69	6.219224623
70	6.218307117
71	6.218274251
