iter	Passed	Remaining
0	51	51403
1	97	48633
2	147	49126
3	206	51326
4	252	50335
5	299	49544
6	348	49462
7	409	50750
8	465	51296
9	494	48950
10	544	48929
11	593	48848
12	639	48570
13	682	48039
14	732	48101
15	768	47284
16	799	46252
17	841	45897
18	911	47061
19	962	47178
20	1007	46963
21	1054	46882
22	1111	47230
23	1168	47499
24	1190	46436
25	1221	45753
26	1278	46065
27	1321	45857
28	1361	45597
29	1429	46209
30	1508	47157
31	1569	47462
32	1592	46653
33	1646	46787
34	1692	46666
35	1740	46614
36	1787	46529
37	1815	45966
38	1849	45571
39	1924	46189
40	1971	46117
41	2033	46372
42	2074	46159
43	2125	46187
44	2173	46130
45	2221	46069
46	2267	45969
47	2298	45583
48	2358	45776
49	2407	45740
50	2448	45567
51	2498	45544
52	2539	45376
53	2590	45377
54	2627	45140
55	2683	45235
56	2732	45198
57	2791	45342
58	2821	45008
59	2868	44946
60	2916	44897
61	2946	44570
62	2993	44522
63	3036	44402
64	3072	44195
65	3133	44338
66	3177	44243
67	3228	44245
68	3287	44356
69	3336	44326
70	3393	44397
71	3434	44272
