iter	RMSE
0	9.077673543
1	8.222440031
2	7.737528135
3	7.475648723
4	7.132097483
5	6.989086222
6	6.774589155
7	6.702304992
8	6.673715589
9	6.583862544
10	6.523386708
11	6.482270829
12	6.457516659
13	6.436950473
14	6.420159508
15	6.405708508
16	6.401360855
17	6.396361828
18	6.387009404
19	6.379141645
20	6.362530547
21	6.359811507
22	6.35470184
23	6.350031548
24	6.346548967
25	6.340744239
26	6.337977645
27	6.33669371
28	6.334611721
29	6.333137864
30	6.332055824
31	6.331555651
32	6.329914527
33	6.329120445
34	6.328615055
35	6.325699202
36	6.324362714
37	6.319262258
38	6.317127405
39	6.316266389
40	6.316013853
41	6.315739365
42	6.31552148
43	6.315461103
44	6.315377117
45	6.315081127
46	6.314752523
47	6.314699639
48	6.314270521
49	6.313402919
50	6.312950474
51	6.312451081
52	6.31222651
53	6.312208414
54	6.312199589
55	6.311552456
56	6.311421889
57	6.310780299
58	6.31065905
59	6.310455894
60	6.31027047
61	6.309803156
62	6.309305762
63	6.309065152
64	6.308964115
65	6.308781462
66	6.307985943
67	6.306843525
68	6.306079907
69	6.305098384
70	6.304393529
71	6.303820024
72	6.302244051
73	6.301763848
74	6.30175768
75	6.30106661
76	6.300982563
77	6.300955766
78	6.300453071
79	6.300173678
80	6.299804801
81	6.299123487
82	6.299119313
83	6.298996547
84	6.298715223
85	6.298439146
86	6.298360322
87	6.298165328
88	6.297633195
89	6.297507467
90	6.297317848
91	6.297275499
92	6.297244245
93	6.296806768
94	6.296784037
95	6.296659382
96	6.296652232
97	6.296349172
98	6.296241472
99	6.296226137
100	6.296134207
101	6.295500255
102	6.295206178
103	6.294774527
104	6.294659607
105	6.294361068
106	6.293991411
107	6.293423633
108	6.293227532
109	6.292735147
110	6.292688536
111	6.292649079
112	6.292286974
113	6.29215615
114	6.292148922
115	6.292144481
116	6.292095173
117	6.292077101
118	6.291976072
119	6.291881245
120	6.291833089
121	6.291749845
122	6.291711345
123	6.291466644
124	6.291131379
125	6.290965943
126	6.290744413
127	6.290649233
128	6.290635908
129	6.290304275
130	6.290113983
131	6.290031501
132	6.289867034
133	6.289861725
134	6.289435659
135	6.289378197
136	6.289173076
137	6.289121752
138	6.289100023
139	6.288749241
140	6.288583792
141	6.288517324
142	6.288447797
143	6.287908405
144	6.287854147
145	6.287734626
146	6.287627542
147	6.287621694
148	6.287473086
149	6.28746856
150	6.287426564
151	6.287362524
152	6.286845569
153	6.286818806
154	6.286777003
155	6.286700936
156	6.286632842
157	6.286597753
158	6.286554978
159	6.286286454
160	6.286092129
161	6.285936659
162	6.285909348
163	6.285796487
164	6.285745818
165	6.285685973
166	6.285182303
167	6.28504735
168	6.284936444
169	6.284880592
170	6.284835554
171	6.284612491
172	6.284453199
173	6.284148204
174	6.283852286
175	6.283783439
176	6.283725793
177	6.283709443
178	6.28367245
179	6.283664816
180	6.2834797
181	6.283346567
182	6.28321776
183	6.283157768
184	6.283155407
185	6.283109591
186	6.283037353
187	6.283017834
188	6.282857669
189	6.282796334
190	6.282618499
191	6.282550317
192	6.282482961
193	6.282299486
194	6.282118463
195	6.282101327
196	6.281450978
197	6.281326682
198	6.281116098
199	6.281000892
200	6.280828234
201	6.280805516
202	6.280641503
203	6.280577966
204	6.280528204
205	6.280469234
206	6.280408076
207	6.280189272
208	6.280173273
209	6.280103456
210	6.280091231
211	6.279942413
212	6.279923027
213	6.279705408
214	6.279643607
215	6.279544646
216	6.279357641
217	6.279240482
218	6.279071884
219	6.278739229
220	6.278693201
221	6.278301972
222	6.277794331
223	6.277508395
224	6.277420029
225	6.277400018
226	6.277189722
227	6.277019748
228	6.27693021
229	6.276529282
230	6.276460298
231	6.276442433
232	6.276212959
233	6.276035781
234	6.27593852
235	6.275914253
236	6.275908519
237	6.275786677
238	6.275505699
239	6.275413046
240	6.275268343
241	6.275201798
242	6.275196237
243	6.275013929
244	6.274953433
245	6.274945864
246	6.274813386
247	6.274798387
248	6.274744028
249	6.274732912
250	6.274707325
251	6.274685515
252	6.274635208
253	6.274621041
254	6.274478611
255	6.274448714
256	6.274166025
257	6.274148787
258	6.274105859
259	6.274062524
260	6.273881173
261	6.273816107
262	6.273609365
263	6.273563278
264	6.273445372
265	6.273309878
266	6.273301678
267	6.273215919
268	6.273096164
269	6.273051023
270	6.27304802
271	6.273032463
272	6.27293064
273	6.272548778
274	6.272505891
275	6.272386656
276	6.272224628
277	6.272096584
278	6.271783646
279	6.271667235
280	6.271403733
281	6.271287934
282	6.271235521
283	6.271232199
284	6.271226576
285	6.271200154
286	6.2711864
287	6.27111871
288	6.27111591
289	6.271079865
290	6.271059205
291	6.271017165
292	6.270996974
293	6.27098541
294	6.270876354
295	6.27087547
296	6.270783614
297	6.270692393
298	6.270685032
299	6.27067719
300	6.270389583
301	6.270372835
302	6.270043786
303	6.26993246
304	6.269769975
305	6.269626511
306	6.269255205
307	6.269228039
308	6.269223432
309	6.269110671
310	6.269094916
311	6.269016153
312	6.26872119
313	6.268574182
314	6.268474622
315	6.268255933
316	6.268117183
317	6.268055075
318	6.267937651
319	6.267822118
320	6.267792362
321	6.267580158
322	6.267498424
323	6.267448788
324	6.267439869
325	6.267238414
326	6.26722598
327	6.266796597
328	6.266771515
329	6.266710848
330	6.26663719
331	6.266622512
332	6.266455273
333	6.266394619
334	6.266376862
335	6.266347636
336	6.266334121
337	6.266287738
338	6.266272517
339	6.266056736
340	6.265932832
341	6.265823859
342	6.265790905
343	6.26568211
344	6.265594623
345	6.265523123
346	6.265519456
347	6.2655178
348	6.265237133
349	6.265196206
350	6.265181714
351	6.265168531
352	6.265164224
353	6.264941768
354	6.26487994
355	6.264836512
356	6.264742721
357	6.26454557
358	6.264405871
359	6.264376625
360	6.264346451
361	6.264269823
362	6.264101369
363	6.264083707
364	6.263958303
365	6.263894705
366	6.263827517
367	6.263714788
368	6.26371452
369	6.26347411
370	6.263433994
371	6.262940335
372	6.262886043
373	6.26284445
374	6.262771761
375	6.262768456
376	6.262748894
377	6.262606278
378	6.262555658
379	6.262313348
380	6.262063226
381	6.262046066
382	6.262042087
383	6.262020554
384	6.261838354
385	6.261834904
386	6.26179428
387	6.261579075
388	6.261521615
389	6.261470068
390	6.261398891
391	6.26137095
392	6.261251639
393	6.261240918
394	6.261210255
395	6.261166884
396	6.261161148
397	6.261081337
398	6.260931775
399	6.260758238
400	6.260711221
401	6.260392019
402	6.260330651
403	6.26031284
404	6.260247502
405	6.260197699
406	6.260111646
407	6.260051408
408	6.260028504
409	6.25983477
410	6.259767714
411	6.25966597
412	6.259564228
413	6.259483167
414	6.259472438
415	6.259369012
416	6.259360219
417	6.259316019
418	6.259292091
419	6.259018499
420	6.258855167
421	6.258777409
422	6.258682784
423	6.258660324
424	6.258561124
425	6.258414017
426	6.258234524
427	6.2582331
428	6.2581919
429	6.258100559
430	6.258069362
431	6.258003198
432	6.257966781
433	6.257934923
434	6.25792691
435	6.25791606
436	6.257837339
437	6.257658064
438	6.257605699
439	6.257459587
440	6.257447844
441	6.257331948
442	6.257321042
443	6.257282099
444	6.257234364
445	6.257181365
446	6.257109812
447	6.257098519
448	6.256916976
449	6.256855507
450	6.25675909
451	6.256688393
