iter	Passed	Remaining
0	19	19430
1	38	19172
2	56	18785
3	71	17895
4	87	17390
5	103	17084
6	118	16771
7	133	16540
8	149	16428
9	165	16335
10	180	16227
11	192	15883
12	202	15389
13	218	15367
14	233	15364
15	249	15334
16	264	15275
17	279	15235
18	294	15200
19	309	15158
20	324	15118
21	339	15090
22	354	15051
23	366	14901
24	381	14863
25	396	14838
26	411	14825
27	424	14749
28	439	14727
29	452	14638
30	467	14612
31	479	14505
32	494	14492
33	509	14476
34	521	14376
35	536	14365
36	542	14123
37	557	14116
38	572	14098
39	587	14088
40	592	13869
41	604	13787
42	610	13584
43	619	13452
44	625	13264
45	636	13210
46	648	13157
47	657	13042
48	670	13007
49	682	12969
50	692	12878
51	707	12892
52	719	12857
53	725	12711
54	734	12623
55	743	12541
56	752	12456
57	765	12440
58	779	12426
59	799	12526
60	806	12411
61	816	12354
62	831	12368
63	843	12332
64	860	12375
65	872	12341
66	884	12310
67	898	12316
68	913	12320
69	922	12250
70	937	12260
71	946	12194
72	965	12258
73	980	12266
74	986	12162
75	999	12146
76	1010	12117
77	1021	12078
78	1030	12018
79	1042	11992
80	1056	11988
81	1071	11995
82	1082	11960
83	1094	11934
84	1106	11908
85	1120	11911
86	1129	11857
87	1141	11833
88	1156	11839
89	1165	11786
90	1177	11763
91	1183	11682
92	1192	11634
93	1206	11632
94	1213	11557
95	1219	11480
96	1228	11435
97	1237	11392
98	1246	11345
99	1255	11300
100	1264	11254
101	1279	11263
102	1295	11284
103	1311	11299
104	1323	11280
105	1335	11261
106	1347	11244
107	1361	11244
108	1370	11203
109	1382	11189
110	1391	11147
111	1400	11105
112	1412	11087
113	1421	11048
114	1432	11024
115	1438	10961
116	1447	10921
117	1453	10864
118	1464	10841
119	1476	10824
120	1487	10809
121	1494	10758
122	1502	10710
123	1513	10695
124	1526	10685
125	1538	10669
126	1557	10703
127	1563	10654
128	1572	10615
129	1584	10605
130	1596	10592
131	1607	10572
132	1622	10577
133	1628	10524
134	1643	10529
135	1657	10528
136	1668	10509
137	1682	10508
138	1688	10457
139	1700	10443
140	1709	10412
141	1715	10362
142	1727	10351
143	1736	10323
144	1745	10292
145	1754	10263
146	1763	10233
147	1772	10203
148	1785	10198
149	1794	10170
150	1806	10157
151	1817	10139
152	1834	10154
153	1840	10111
154	1852	10100
155	1863	10084
156	1875	10072
157	1884	10044
158	1894	10019
159	1906	10009
160	1919	10001
161	1934	10006
162	1943	9982
163	1958	9981
164	1969	9966
165	1977	9932
166	1989	9922
167	2002	9915
168	2016	9915
169	2023	9878
170	2036	9875
171	2044	9843
172	2054	9822
173	2063	9797
174	2080	9809
175	2086	9770
176	2095	9744
177	2101	9705
178	2110	9680
179	2119	9655
180	2130	9638
181	2143	9634
182	2150	9599
183	2160	9580
184	2169	9556
185	2175	9521
186	2187	9509
187	2196	9485
188	2207	9472
189	2221	9472
190	2236	9474
191	2245	9450
192	2258	9442
193	2267	9419
194	2282	9421
195	2293	9406
196	2307	9407
197	2317	9385
198	2328	9370
199	2339	9358
200	2349	9337
201	2357	9314
202	2369	9303
203	2378	9282
204	2385	9250
205	2403	9265
206	2410	9233
207	2421	9218
208	2428	9189
209	2441	9184
210	2451	9168
211	2463	9158
212	2474	9144
213	2485	9129
214	2496	9114
215	2508	9104
216	2519	9090
217	2536	9097
218	2548	9087
219	2559	9075
220	2571	9062
221	2580	9044
222	2592	9033
223	2604	9023
224	2610	8993
225	2623	8984
226	2634	8970
227	2646	8962
228	2657	8947
229	2668	8935
230	2678	8915
231	2687	8895
232	2693	8865
233	2707	8864
234	2718	8850
235	2730	8840
236	2741	8825
237	2747	8797
238	2754	8770
239	2765	8757
240	2774	8739
241	2787	8730
242	2796	8712
243	2805	8692
244	2811	8664
245	2821	8646
246	2836	8646
247	2845	8626
248	2855	8613
249	2869	8609
250	2883	8604
251	2898	8602
252	2904	8575
253	2910	8548
254	2925	8547
255	2939	8543
256	2951	8531
257	2959	8511
258	2975	8514
259	2984	8495
260	2993	8477
261	3004	8464
262	3016	8451
263	3024	8431
264	3040	8432
265	3049	8415
266	3064	8412
267	3071	8388
268	3082	8377
269	3097	8375
270	3103	8348
271	3110	8323
272	3118	8305
273	3133	8303
274	3142	8285
275	3157	8282
276	3169	8272
277	3181	8261
278	3196	8261
279	3205	8243
280	3215	8226
281	3221	8203
282	3233	8193
283	3240	8168
284	3246	8143
285	3256	8128
286	3262	8104
287	3273	8093
288	3282	8076
289	3289	8053
290	3298	8037
291	3305	8013
292	3311	7989
293	3317	7966
294	3328	7955
295	3335	7931
296	3341	7909
297	3355	7903
298	3364	7887
299	3373	7871
300	3388	7867
301	3399	7858
302	3412	7850
303	3424	7840
304	3435	7828
305	3449	7822
306	3459	7810
307	3471	7800
308	3482	7787
309	3493	7774
310	3499	7752
311	3511	7742
312	3525	7738
313	3539	7732
314	3549	7718
315	3559	7704
316	3573	7699
317	3586	7692
318	3598	7682
319	3604	7659
320	3610	7638
321	3625	7634
322	3637	7625
323	3646	7609
324	3660	7603
325	3673	7595
326	3681	7577
327	3692	7565
328	3702	7552
329	3714	7541
330	3726	7531
331	3732	7509
332	3746	7503
333	3759	7497
334	3774	7493
335	3785	7481
336	3794	7465
337	3808	7458
338	3817	7443
339	3826	7428
340	3838	7418
341	3847	7401
342	3857	7388
343	3868	7376
344	3880	7367
345	3892	7358
346	3899	7337
347	3908	7322
348	3923	7318
349	3935	7308
350	3948	7301
351	3960	7290
352	3973	7283
353	3982	7268
354	3996	7261
355	4006	7246
356	4015	7231
357	4021	7211
358	4030	7196
359	4039	7182
360	4046	7161
361	4053	7144
362	4066	7135
363	4075	7120
364	4083	7104
365	4092	7089
366	4104	7079
367	4115	7068
368	4124	7053
369	4133	7038
370	4144	7027
371	4153	7012
372	4161	6995
373	4171	6982
374	4179	6965
375	4187	6949
376	4196	6934
377	4207	6922
378	4217	6910
379	4228	6899
380	4240	6889
381	4250	6877
382	4257	6858
383	4266	6844
384	4273	6826
385	4279	6807
386	4295	6803
387	4309	6798
388	4321	6788
389	4335	6780
390	4343	6764
391	4353	6753
392	4359	6733
393	4370	6721
394	4381	6710
395	4387	6691
396	4398	6680
397	4415	6678
398	4425	6665
399	4437	6656
400	4448	6645
401	4463	6639
402	4477	6632
403	4486	6618
404	4498	6608
405	4508	6596
406	4520	6586
