,day_of_week,hour,quantities,item_count,food_prep_time_minutes
0,Tuesday,10.75,2.0,2,13
1,Wednesday,21.75,16.0,9,38
2,Wednesday,12.75,14.0,10,24
3,Thursday,20.75,3.0,3,14
4,Thursday,14.75,7.0,4,25
5,Wednesday,18.75,9.0,6,28
6,Saturday,8.75,7.0,5,24
7,Wednesday,18.75,7.0,5,41
8,Sunday,20.75,9.0,5,39
9,Sunday,19.75,7.0,5,31
10,Thursday,14.75,5.0,3,20
11,Thursday,18.75,2.0,1,16
12,Sunday,12.75,7.0,5,22
13,Saturday,19.75,2.0,2,16
14,Tuesday,8.75,1.0,1,12
15,Sunday,21.75,17.0,9,41
16,Thursday,12.75,3.0,1,37
17,Wednesday,5.75,6.0,5,13
18,Thursday,19.75,8.0,5,23
19,Friday,8.75,6.0,2,34
20,Friday,20.75,7.0,5,30
21,Tuesday,12.75,6.0,5,13
22,Friday,19.75,12.0,9,41
23,Wednesday,8.75,13.0,9,38
24,Saturday,6.75,8.0,7,15
25,Wednesday,2.75,2.0,2,13
26,Tuesday,12.75,2.0,2,10
27,Sunday,18.75,12.0,7,40
28,Saturday,23.75,2.0,2,7
29,Friday,14.75,9.0,8,12
30,Thursday,12.75,8.0,7,12
31,Friday,21.75,15.0,10,37
32,Monday,14.75,6.0,4,25
33,Wednesday,10.75,10.0,9,23
34,Thursday,12.75,6.0,6,13
35,Sunday,19.75,6.0,3,29
36,Monday,22.75,1.0,1,10
37,Thursday,17.75,3.0,3,14
38,Friday,12.75,16.0,10,39
39,Wednesday,5.75,12.0,7,36
40,Thursday,19.75,8.0,7,27
41,Saturday,19.75,7.0,5,21
42,Sunday,11.75,6.0,4,27
43,Saturday,20.75,12.0,9,30
44,Tuesday,16.75,4.0,2,41
45,Sunday,20.75,11.0,7,37
46,Tuesday,6.75,4.0,2,24
47,Wednesday,8.75,4.0,2,23
48,Thursday,20.75,15.0,8,43
49,Thursday,20.75,7.0,5,30
50,Wednesday,1.75,4.0,4,11
51,Saturday,13.75,4.0,2,27
52,Sunday,12.75,7.0,7,16
53,Monday,20.75,2.0,2,10
54,Friday,18.75,14.0,10,29
55,Thursday,7.75,6.0,4,19
56,Wednesday,19.75,11.0,6,35
57,Friday,12.75,1.0,1,10
58,Saturday,2.75,11.0,5,37
59,Saturday,18.75,13.0,9,47
60,Saturday,21.75,2.0,2,6
61,Saturday,13.75,12.0,9,29
62,Thursday,10.75,1.0,1,10
63,Friday,6.75,11.0,9,23
64,Monday,6.75,3.0,2,11
65,Tuesday,22.75,3.0,3,14
66,Wednesday,13.75,16.0,10,44
67,Friday,18.75,12.0,10,23
68,Thursday,18.75,9.0,8,16
69,Friday,7.75,11.0,8,40
70,Saturday,14.75,5.0,3,36
71,Saturday,15.75,7.0,7,12
72,Wednesday,18.75,7.0,5,29
73,Tuesday,20.75,15.0,8,44
74,Thursday,5.75,1.0,1,4
75,Tuesday,19.75,3.0,3,18
76,Saturday,7.75,7.0,6,14
77,Monday,23.75,9.0,7,31
78,Friday,21.75,11.0,8,40
79,Thursday,18.75,10.0,8,19
80,Wednesday,11.75,12.0,8,34
81,Saturday,12.75,3.0,2,20
82,Thursday,4.75,1.0,1,3
83,Wednesday,21.75,10.0,6,41
84,Saturday,2.75,9.0,9,12
85,Wednesday,23.75,8.0,6,22
86,Thursday,18.75,10.0,8,38
87,Wednesday,3.75,3.0,3,11
88,Thursday,2.75,12.0,10,22
89,Wednesday,13.75,5.0,4,26
90,Friday,20.75,2.0,2,8
91,Wednesday,11.75,1.0,1,10
92,Thursday,16.75,5.0,4,19
93,Wednesday,20.75,7.0,6,31
94,Wednesday,4.75,2.0,1,15
95,Thursday,23.75,10.0,6,43
96,Wednesday,18.75,6.0,5,16
97,Friday,2.75,4.0,2,25
98,Friday,15.75,3.0,3,12
99,Sunday,21.75,7.0,5,16
100,Tuesday,9.75,9.0,9,13
101,Friday,20.75,4.0,3,30
102,Thursday,12.75,14.0,9,43
103,Tuesday,3.75,3.0,2,15
104,Thursday,16.75,5.0,5,16
105,Wednesday,21.75,12.0,10,19
106,Friday,20.75,1.0,1,16
107,Friday,18.75,8.0,4,26
108,Saturday,18.75,5.0,3,18
109,Thursday,2.75,15.0,10,40
110,Thursday,8.75,8.0,5,35
111,Tuesday,13.75,10.0,9,15
112,Monday,8.75,18.0,10,38
113,Tuesday,20.75,5.0,3,30
114,Wednesday,0.75,10.0,8,35
115,Thursday,17.75,2.0,2,11
116,Sunday,16.75,11.0,8,29
117,Friday,9.75,2.0,2,13
118,Thursday,18.75,15.0,10,33
119,Tuesday,16.75,12.0,10,25
120,Friday,12.75,7.0,5,42
121,Friday,13.75,1.0,1,7
122,Thursday,12.75,4.0,4,11
123,Thursday,13.75,16.0,10,43
124,Thursday,21.75,9.0,4,43
125,Friday,17.75,2.0,2,11
126,Friday,3.75,1.0,1,8
127,Sunday,21.75,1.0,1,8
128,Monday,16.75,1.0,1,13
129,Wednesday,15.75,1.0,1,10
130,Friday,10.75,8.0,4,39
131,Thursday,9.75,11.0,9,27
132,Thursday,18.75,7.0,5,32
133,Monday,23.75,4.0,2,17
134,Wednesday,5.75,10.0,9,16
135,Friday,16.75,15.0,9,38
136,Wednesday,18.75,4.0,2,28
137,Friday,18.75,6.0,4,44
138,Sunday,20.75,11.0,7,43
139,Thursday,23.75,10.0,7,33
140,Friday,8.75,11.0,7,39
141,Friday,20.75,8.0,6,23
142,Friday,22.75,7.0,3,41
143,Tuesday,15.75,3.0,1,19
144,Monday,8.75,11.0,9,25
145,Friday,12.75,6.0,6,11
146,Sunday,17.75,5.0,5,14
147,Sunday,8.75,15.0,10,24
148,Thursday,1.75,16.0,10,28
149,Saturday,15.75,8.0,6,21
150,Thursday,12.75,15.0,9,40
151,Tuesday,11.75,2.0,2,11
152,Thursday,18.75,10.0,5,31
153,Sunday,19.75,14.0,10,43
154,Thursday,17.75,2.0,1,17
155,Thursday,9.75,9.0,7,30
156,Friday,18.75,7.0,5,49
157,Tuesday,18.75,13.0,10,32
158,Thursday,7.75,13.0,8,33
159,Saturday,20.75,12.0,7,37
160,Thursday,10.75,8.0,7,23
161,Tuesday,13.75,10.0,8,24
162,Thursday,6.75,1.0,1,4
163,Thursday,13.75,8.0,5,27
164,Wednesday,5.75,3.0,1,32
165,Thursday,13.75,8.0,7,16
166,Thursday,3.75,11.0,7,28
167,Thursday,21.75,8.0,7,14
168,Sunday,3.75,4.0,2,33
169,Saturday,19.75,8.0,6,21
170,Monday,23.75,5.0,5,14
171,Wednesday,8.75,6.0,4,26
172,Sunday,13.75,10.0,7,44
173,Friday,19.75,1.0,1,8
174,Wednesday,18.75,10.0,6,40
175,Friday,14.75,4.0,2,45
176,Monday,20.75,5.0,3,20
177,Thursday,0.75,4.0,4,13
178,Saturday,15.75,16.0,10,41
179,Tuesday,17.75,3.0,3,12
180,Thursday,14.75,9.0,9,11
181,Thursday,12.75,11.0,7,23
182,Thursday,16.75,5.0,4,23
183,Thursday,13.75,5.0,4,28
184,Wednesday,5.75,5.0,4,15
185,Sunday,23.75,2.0,2,14
186,Thursday,20.75,3.0,1,41
187,Monday,17.75,16.0,10,44
188,Thursday,7.75,8.0,5,18
189,Friday,20.75,8.0,4,33
190,Saturday,23.75,4.0,2,31
191,Saturday,13.75,1.0,1,5
192,Tuesday,6.75,10.0,5,25
193,Tuesday,14.75,12.0,10,25
194,Wednesday,6.75,12.0,10,38
195,Thursday,12.75,7.0,5,26
196,Monday,12.75,8.0,7,20
197,Thursday,15.75,16.0,10,40
198,Friday,16.75,1.0,1,14
199,Thursday,22.75,10.0,7,38
200,Friday,9.75,10.0,6,40
201,Wednesday,14.75,15.0,9,23
202,Thursday,23.75,11.0,6,26
203,Wednesday,12.75,12.0,7,26
204,Wednesday,19.75,2.0,2,10
205,Tuesday,20.75,4.0,3,33
206,Thursday,19.75,13.0,10,43
207,Thursday,15.75,6.0,4,41
208,Saturday,19.75,9.0,7,28
209,Wednesday,22.75,10.0,9,15
210,Monday,15.75,1.0,1,7
211,Thursday,21.75,3.0,2,15
212,Friday,12.75,18.0,10,38
213,Thursday,18.75,5.0,5,12
214,Thursday,14.75,2.0,2,9
215,Monday,5.75,8.0,5,31
216,Thursday,20.75,11.0,8,30
217,Sunday,11.75,3.0,3,11
218,Sunday,20.75,9.0,7,25
219,Thursday,23.75,8.0,6,27
220,Thursday,21.75,9.0,8,23
221,Thursday,21.75,2.0,1,15
222,Tuesday,13.75,14.0,10,40
223,Friday,17.75,15.0,10,37
224,Thursday,22.75,6.0,3,22
225,Wednesday,19.75,9.0,5,32
226,Sunday,11.75,3.0,3,11
227,Tuesday,12.75,12.0,8,24
228,Thursday,14.75,7.0,5,20
229,Friday,19.75,10.0,7,17
230,Thursday,23.75,4.0,4,11
231,Thursday,18.75,10.0,7,27
232,Thursday,15.75,14.0,10,39
233,Wednesday,20.75,3.0,2,21
234,Thursday,10.75,6.0,4,31
235,Tuesday,16.75,16.0,10,42
236,Friday,18.75,11.0,8,44
237,Monday,0.75,6.0,2,38
238,Monday,19.75,5.0,3,27
239,Friday,16.75,4.0,4,14
240,Saturday,18.75,7.0,7,16
241,Tuesday,10.75,2.0,2,12
242,Friday,7.75,13.0,10,18
243,Sunday,17.75,11.0,8,23
244,Friday,13.75,9.0,6,23
245,Thursday,21.75,7.0,5,23
246,Thursday,21.75,4.0,3,21
247,Monday,22.75,6.0,4,27
248,Tuesday,5.75,10.0,5,31
249,Thursday,15.75,6.0,5,25
250,Wednesday,19.75,3.0,3,8
251,Thursday,16.75,7.0,5,29
252,Thursday,8.75,5.0,5,14
253,Thursday,9.75,2.0,1,25
254,Sunday,19.75,2.0,2,16
255,Friday,16.75,3.0,3,12
256,Friday,23.75,10.0,8,45
257,Friday,19.75,13.0,9,35
258,Saturday,20.75,12.0,8,31
259,Thursday,20.75,3.0,2,31
260,Monday,10.75,10.0,7,24
261,Tuesday,18.75,2.0,2,15
262,Friday,14.75,9.0,6,30
263,Friday,9.75,4.0,2,14
264,Friday,14.75,4.0,3,19
265,Thursday,19.75,8.0,6,21
266,Thursday,5.75,8.0,6,24
267,Friday,19.75,7.0,4,40
268,Thursday,18.75,11.0,10,23
269,Wednesday,3.75,12.0,10,23
270,Thursday,19.75,7.0,4,46
271,Thursday,4.75,8.0,5,24
272,Thursday,19.75,6.0,4,35
273,Wednesday,10.75,7.0,6,16
274,Saturday,18.75,4.0,3,24
275,Sunday,21.75,5.0,4,17
276,Monday,12.75,9.0,7,29
277,Tuesday,0.75,4.0,3,17
278,Thursday,1.75,6.0,5,11
279,Thursday,19.75,3.0,2,29
280,Thursday,14.75,10.0,8,31
281,Saturday,12.75,4.0,3,26
282,Saturday,20.75,1.0,1,12
283,Thursday,12.75,3.0,3,13
284,Saturday,20.75,8.0,6,39
285,Sunday,21.75,1.0,1,7
286,Sunday,2.75,11.0,8,19
287,Tuesday,10.75,8.0,4,25
288,Friday,19.75,12.0,8,29
289,Saturday,19.75,7.0,7,15
290,Thursday,9.75,11.0,9,37
291,Saturday,23.75,1.0,1,11
292,Thursday,13.75,5.0,3,36
293,Tuesday,20.75,19.0,10,45
294,Friday,18.75,6.0,6,15
295,Wednesday,14.75,6.0,6,11
296,Wednesday,18.75,4.0,3,30
297,Friday,6.75,11.0,8,20
298,Sunday,19.75,3.0,3,12
299,Thursday,10.75,5.0,3,35
300,Thursday,21.75,10.0,7,25
301,Thursday,20.75,3.0,2,27
302,Wednesday,7.75,4.0,3,14
303,Thursday,12.75,6.0,4,24
304,Thursday,20.75,6.0,6,14
305,Thursday,19.75,11.0,9,18
306,Monday,18.75,2.0,2,10
307,Thursday,14.75,8.0,6,21
308,Wednesday,17.75,7.0,6,14
309,Monday,10.75,5.0,4,13
310,Thursday,18.75,6.0,5,16
311,Tuesday,19.75,9.0,5,42
312,Sunday,17.75,6.0,6,14
313,Wednesday,19.75,1.0,1,14
314,Thursday,10.75,4.0,2,22
315,Sunday,17.75,10.0,5,25
316,Thursday,12.75,11.0,9,26
317,Friday,14.75,11.0,9,21
318,Saturday,9.75,16.0,8,34
319,Tuesday,18.75,2.0,2,12
320,Tuesday,21.75,11.0,7,28
321,Sunday,23.75,7.0,5,21
322,Wednesday,12.75,12.0,8,40
323,Friday,2.75,12.0,10,21
324,Thursday,6.75,12.0,8,27
325,Tuesday,10.75,3.0,1,32
326,Thursday,8.75,9.0,9,13
327,Saturday,15.75,8.0,6,23
328,Tuesday,12.75,10.0,7,34
329,Monday,16.75,13.0,9,23
330,Wednesday,20.75,6.0,5,31
331,Thursday,19.75,7.0,4,41
332,Thursday,8.75,5.0,5,11
333,Friday,13.75,7.0,5,25
334,Friday,19.75,6.0,3,26
335,Wednesday,2.75,7.0,4,23
336,Monday,7.75,13.0,8,35
337,Thursday,11.75,8.0,4,31
338,Thursday,17.75,3.0,2,10
339,Thursday,13.75,2.0,2,15
340,Wednesday,22.75,13.0,7,24
341,Tuesday,17.75,16.0,9,43
342,Sunday,9.75,13.0,8,22
343,Thursday,22.75,1.0,1,11
344,Thursday,4.75,6.0,5,23
345,Saturday,12.75,1.0,1,13
346,Monday,10.75,10.0,8,27
347,Monday,23.75,2.0,2,13
348,Tuesday,14.75,5.0,4,16
349,Friday,7.75,1.0,1,8
350,Tuesday,18.75,2.0,2,18
351,Tuesday,18.75,5.0,4,29
352,Friday,16.75,5.0,5,13
353,Thursday,21.75,8.0,6,19
354,Friday,23.75,6.0,5,20
355,Thursday,16.75,6.0,3,29
356,Thursday,1.75,2.0,2,15
357,Wednesday,13.75,10.0,7,35
358,Thursday,10.75,16.0,9,35
359,Wednesday,20.75,9.0,9,15
360,Friday,13.75,4.0,2,25
361,Wednesday,13.75,7.0,3,24
362,Wednesday,9.75,8.0,5,36
363,Monday,19.75,14.0,9,22
364,Wednesday,13.75,7.0,7,12
365,Thursday,15.75,3.0,2,28
366,Friday,19.75,7.0,5,22
367,Friday,16.75,7.0,5,37
368,Thursday,6.75,14.0,10,33
369,Wednesday,8.75,12.0,9,27
370,Sunday,7.75,11.0,6,33
371,Monday,13.75,12.0,10,27
372,Thursday,16.75,8.0,5,28
373,Saturday,10.75,12.0,8,40
374,Tuesday,23.75,7.0,5,28
375,Friday,13.75,15.0,10,44
376,Monday,11.75,5.0,4,26
377,Tuesday,10.75,3.0,1,35
378,Sunday,18.75,8.0,8,15
379,Friday,16.75,6.0,3,41
380,Thursday,5.75,3.0,3,11
381,Thursday,14.75,5.0,4,24
382,Wednesday,18.75,10.0,6,43
383,Tuesday,16.75,8.0,5,19
384,Friday,10.75,4.0,2,31
385,Thursday,11.75,1.0,1,11
386,Friday,8.75,16.0,10,23
387,Thursday,19.75,11.0,6,45
388,Tuesday,19.75,15.0,10,46
389,Thursday,8.75,9.0,9,11
390,Monday,3.75,8.0,7,13
391,Wednesday,14.75,12.0,8,40
392,Friday,20.75,7.0,4,28
393,Thursday,3.75,4.0,2,28
394,Friday,19.75,11.0,7,30
395,Thursday,10.75,9.0,8,14
396,Tuesday,7.75,4.0,3,22
397,Monday,17.75,1.0,1,9
398,Wednesday,20.75,6.0,6,12
399,Wednesday,6.75,7.0,5,14
400,Friday,22.75,1.0,1,12
401,Thursday,21.75,3.0,3,14
402,Thursday,21.75,3.0,3,14
403,Thursday,16.75,4.0,3,15
404,Tuesday,1.75,10.0,9,15
405,Monday,8.75,11.0,7,20
406,Friday,9.75,10.0,6,21
407,Thursday,11.75,13.0,8,34
408,Tuesday,8.75,11.0,9,24
409,Monday,17.75,2.0,2,9
410,Friday,13.75,11.0,9,24
411,Wednesday,9.75,10.0,7,26
412,Wednesday,14.75,14.0,9,34
413,Friday,23.75,1.0,1,7
414,Saturday,13.75,10.0,6,40
415,Tuesday,9.75,4.0,2,21
416,Thursday,20.75,9.0,5,46
417,Wednesday,9.75,11.0,10,12
418,Wednesday,18.75,12.0,8,31
419,Monday,17.75,8.0,4,21
420,Tuesday,9.75,2.0,2,6
421,Thursday,9.75,9.0,8,24
422,Wednesday,19.75,12.0,10,28
423,Monday,15.75,13.0,9,33
424,Sunday,7.75,5.0,4,23
425,Friday,18.75,9.0,8,20
426,Friday,9.75,8.0,5,37
427,Thursday,22.75,2.0,2,15
428,Wednesday,20.75,7.0,5,30
429,Saturday,14.75,1.0,1,13
430,Wednesday,16.75,8.0,6,40
431,Sunday,18.75,13.0,8,35
432,Thursday,18.75,10.0,8,21
433,Monday,20.75,8.0,7,23
434,Friday,22.75,9.0,7,37
435,Tuesday,22.75,11.0,9,27
436,Thursday,22.75,13.0,9,29
437,Saturday,19.75,6.0,4,21
438,Sunday,17.75,3.0,2,27
439,Sunday,17.75,5.0,5,11
440,Monday,18.75,10.0,5,32
441,Thursday,19.75,9.0,5,44
442,Saturday,11.75,4.0,3,10
443,Wednesday,20.75,4.0,2,49
444,Sunday,8.75,6.0,5,24
445,Thursday,19.75,15.0,9,31
446,Sunday,11.75,8.0,6,18
447,Thursday,18.75,20.0,10,47
448,Friday,16.75,8.0,6,22
449,Thursday,17.75,9.0,9,14
450,Sunday,20.75,17.0,10,45
451,Thursday,15.75,7.0,5,25
452,Wednesday,20.75,9.0,5,42
453,Thursday,8.75,13.0,9,26
454,Wednesday,7.75,3.0,3,13
455,Saturday,12.75,4.0,4,12
456,Thursday,17.75,5.0,4,28
457,Friday,7.75,4.0,4,11
458,Sunday,20.75,6.0,5,21
459,Sunday,15.75,1.0,1,14
460,Friday,16.75,5.0,2,34
461,Saturday,18.75,10.0,6,24
462,Friday,2.75,13.0,9,29
463,Thursday,8.75,16.0,10,35
464,Thursday,12.75,12.0,8,29
465,Friday,20.75,3.0,3,15
466,Monday,20.75,3.0,3,15
467,Friday,19.75,8.0,7,28
468,Wednesday,0.75,15.0,10,31
469,Saturday,13.75,10.0,4,42
470,Saturday,20.75,13.0,10,32
471,Thursday,17.75,9.0,4,40
472,Thursday,11.75,5.0,3,37
473,Thursday,23.75,10.0,8,30
474,Monday,19.75,1.0,1,16
475,Tuesday,2.75,13.0,10,21
476,Monday,9.75,3.0,3,8
477,Tuesday,19.75,16.0,9,43
478,Wednesday,13.75,2.0,2,12
479,Thursday,21.75,2.0,2,13
480,Wednesday,19.75,6.0,4,31
481,Thursday,19.75,6.0,3,28
482,Wednesday,14.75,2.0,2,10
483,Thursday,7.75,2.0,2,13
484,Thursday,16.75,6.0,6,15
485,Thursday,18.75,14.0,7,47
486,Sunday,18.75,4.0,4,12
487,Wednesday,14.75,16.0,9,38
488,Thursday,12.75,5.0,3,35
489,Tuesday,18.75,13.0,8,42
490,Monday,20.75,6.0,4,32
491,Thursday,3.75,12.0,8,32
492,Thursday,13.75,9.0,6,34
493,Friday,20.75,1.0,1,12
494,Saturday,19.75,12.0,10,31
495,Tuesday,13.75,1.0,1,9
496,Thursday,18.75,3.0,3,11
497,Thursday,23.75,8.0,6,14
498,Thursday,20.75,12.0,6,40
499,Tuesday,18.75,7.0,5,28
500,Friday,16.75,4.0,2,38
501,Thursday,4.75,3.0,3,7
502,Thursday,19.75,13.0,10,31
503,Monday,23.75,3.0,3,13
504,Wednesday,16.75,4.0,4,10
505,Saturday,18.75,13.0,9,29
506,Tuesday,7.75,3.0,3,8
507,Monday,12.75,7.0,6,21
508,Friday,20.75,13.0,9,42
509,Wednesday,22.75,14.0,10,27
510,Thursday,22.75,17.0,10,27
511,Sunday,16.75,6.0,6,13
512,Wednesday,19.75,7.0,5,22
513,Friday,21.75,6.0,5,27
514,Sunday,7.75,8.0,4,21
515,Tuesday,8.75,4.0,3,25
516,Thursday,18.75,8.0,6,22
517,Wednesday,16.75,17.0,9,39
518,Tuesday,17.75,5.0,5,13
519,Thursday,21.75,11.0,7,35
520,Wednesday,23.75,6.0,6,15
521,Saturday,20.75,7.0,3,43
522,Sunday,0.75,7.0,5,20
523,Saturday,10.75,5.0,3,33
