temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,weather_main
270.475,270.475,270.475,1001,77,1,62,clear
270.475,270.475,270.475,1001,77,1,62,clear
269.686,269.686,269.686,1002,78,0,23,clear
269.686,269.686,269.686,1002,78,0,23,clear
269.686,269.686,269.686,1002,78,0,23,clear
270.292,270.292,270.292,1004,71,2,321,clear
270.292,270.292,270.292,1004,71,2,321,clear
270.292,270.292,270.292,1004,71,2,321,clear
274.601,274.601,274.601,1005,71,1,307,clear
274.601,274.601,274.601,1005,71,1,307,clear
274.601,274.601,274.601,1005,71,1,307,clear
284.824,284.824,284.824,1006,55,1,255,clear
284.824,284.824,284.824,1006,55,1,255,clear
284.824,284.824,284.824,1006,55,1,255,clear
285.0506563,285.0506563,285.0506563,1015,52,1,248,clear
285.2773438,285.2773438,285.2773438,1025,50,1,242,clear
281.024,281.024,281.024,1021,67,1,230,clear
282.744,282.744,282.744,1035,58,1,226,clear
279.984,279.984,279.984,1035,68,1,216,clear
277.8761875,277.8761875,277.8761875,1017,69,1,235,clear
275.0075,275.0075,275.0075,1021,81,1,220,clear
272.791,272.791,272.791,1006,84,1,235,clear
272.791,272.791,272.791,1006,84,1,235,clear
271.229,271.229,271.229,1006,82,1,265,clear
271.229,271.229,271.229,1006,82,1,265,clear
271.229,271.229,271.229,1006,82,1,265,clear
270.664,270.664,270.664,1005,82,1,275,clear
270.664,270.664,270.664,1005,82,1,275,clear
270.664,270.664,270.664,1005,82,1,275,clear
270.277,270.277,270.277,1006,78,1,284,clear
270.277,270.277,270.277,1006,78,1,284,clear
270.277,270.277,270.277,1006,78,1,284,clear
274.43,274.43,274.43,1007,70,2,289,clear
274.43,274.43,274.43,1007,70,2,289,clear
274.43,274.43,274.43,1007,70,2,289,clear
285.595,285.595,285.595,1007,52,1,265,clear
286.304,286.304,286.304,1022,44,1,289,clear
285.595,285.595,285.595,1007,52,1,265,clear
287.2833125,287.2833125,287.2833125,1036,37,1,275,clear
287.5536875,287.5536875,287.5536875,1036,37,1,236,clear
282.42,282.42,282.42,1037,54,1,253,clear
284.4916563,284.4916563,284.4916563,1036,48,1,196,clear
281.1593438,281.1593438,281.1593438,1036,59,1,194,clear
277.545,277.545,277.545,1006,81,1,226,clear
275.707,275.707,275.707,1022,75,1,227,clear
273.587,273.587,273.587,1007,79,1,262,clear
273.587,273.587,273.587,1007,79,1,262,clear
272.333,272.333,272.333,1007,78,1,271,clear
272.333,272.333,272.333,1007,78,1,271,clear
272.333,272.333,272.333,1007,78,1,271,clear
271.967,271.967,271.967,1006,80,1,266,clear
271.967,271.967,271.967,1006,80,1,266,clear
271.967,271.967,271.967,1006,80,1,266,clear
271.969,271.969,271.969,1005,80,2,265,clouds
271.969,271.969,271.969,1005,80,2,265,clouds
271.969,271.969,271.969,1005,80,2,265,clouds
275.827,275.827,275.827,1006,78,2,261,clear
275.827,275.827,275.827,1006,78,2,261,clear
275.827,275.827,275.827,1006,78,2,261,clear
287.968,287.968,287.968,1005,51,2,272,clear
287.968,287.968,287.968,1005,51,2,272,clear
287.968,287.968,287.968,1005,51,2,272,clear
287.968,287.968,287.968,1005,51,2,272,clear
290.323,290.323,290.323,1003,51,2,260,clear
288.18425,288.18425,288.18425,1010,55,2,261,clear
287.5973125,287.5973125,287.5973125,1032,53,2,265,clear
284.6826875,284.6826875,284.6826875,1032,60,2,264,clear
281.768,281.768,281.768,1003,72,2,264,clear
277.502,277.502,277.502,1003,79,2,272,clear
277.502,277.502,277.502,1003,79,2,272,clear
277.502,277.502,277.502,1003,79,2,272,clear
276.168,276.168,276.168,1003,78,2,278,clear
276.168,276.168,276.168,1003,78,2,278,clear
276.168,276.168,276.168,1003,78,2,278,clear
275.243,275.243,275.243,1002,77,2,274,clear
275.243,275.243,275.243,1002,77,2,274,clear
