movieId_i,movieId_j,similarity
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
6,2,0
7,1,0
10.0,1.0,0.485642931178632
10.0,2.0,-0.7071067811865475
11.0,1.0,-0.5692099788303082
11,2,0
11,3,0
11,4,0
11,5,0
11,6,0
14,1,0
16.0,1.0,-1.0
16,2,0
17,1,0
17,2,0
21.0,1.0,-1.0
21.0,2.0,0.24253562503633305
24.0,1.0,-1.0
25,1,0
26,1,0
26,2,0
29.0,1.0,1.0
29,2,0
32.0,1.0,0.6931032800836721
32,2,0
34.0,1.0,-0.9524241471993242
34,2,0
36.0,1.0,-1.0
39.0,1.0,-0.17888543819998326
39,2,0
39,3,0
39,4,0
39,5,0
39,6,0
42,1,0
44,1,0
44,2,0
45.0,1.0,-0.5692099788303082
45,2,0
45,3,0
45,4,0
45,5,0
45,6,0
47.0,1.0,0.5760789310572912
47,2,0
48.0,1.0,0.8741572761215379
48,2,0
50.0,1.0,-0.5380275868489703
50.0,2.0,-0.6154574548966636
52,1,0
52,2,0
58,1,0
62.0,1.0,0.9761870601839526
64,1,0
70.0,1.0,-1.0
70,2,0
73,1,0
74,1,0
76.0,1.0,1.0
76,2,0
86,1,0
86,2,0
93,1,0
94.0,1.0,-1.0
103.0,1.0,0.6305926250944658
104,1,0
109.0,1.0,-0.6121731929914169
109.0,2.0,-0.3713906763541035
110.0,1.0,-0.05458155346042222
110,2,0
121,1,0
124,1,0
124,2,0
124,3,0
124,4,0
124,5,0
124,6,0
134,1,0
149.0,1.0,1.0
150,1,0
152.0,1.0,-0.485642931178632
152.0,2.0,-0.7071067811865475
160.0,1.0,-0.3628176990660659
160,2,0
160,3,0
160,4,0
160,5,0
160,6,0
161.0,1.0,0.4079400621900511
161,2,0
162.0,1.0,-1.0
162,2,0
167.0,1.0,-0.5692099788303083
167,2,0
167,3,0
167,4,0
167,5,0
179.0,1.0,-1.0
185,1,0
186,1,0
186,2,0
194,1,0
195,1,0
195,2,0
197.0,1.0,-0.9828721869343221
197,2,0
207.0,1.0,0.5424508028966483
207,2,0
207,3,0
207,4,0
207,5,0
215.0,1.0,1.0
216,1,0
220,1,0
220,2,0
221.0,1.0,0.1961161351381834
229.0,1.0,1.0
230,1,0
230,2,0
232,1,0
233.0,1.0,1.0
233,2,0
235,1,0
246.0,1.0,0.9761870601839528
250,1,0
251,1,0
258.0,1.0,0.2124057636120452
258,2,0
258,3,0
258,4,0
258,5,0
258,6,0
258,7,0
260,1,0
260,2,0
264.0,1.0,-0.5547001962252295
264,2,0
265,1,0
267,1,0
273,1,0
274,1,0
280,1,0
286.0,1.0,-0.9284766908852592
286,2,0
289,1,0
289,2,0
290.0,1.0,1.0
294.0,1.0,-1.0
294.0,2.0,0.21693045781865614
298.0,1.0,-1.0
298.0,2.0,1.0
300,1,0
300,2,0
301.0,1.0,1.0
311,1,0
311,2,0
313,1,0
314.0,1.0,0.991997911723619
314.0,2.0,-0.7071067811865476
315.0,1.0,0.5692099788303082
315,2,0
315,3,0
315,4,0
315,5,0
315,6,0
316.0,1.0,6.056070912065991e-16
316.0,2.0,1.0
317,1,0
317,2,0
324,1,0
324,2,0
326.0,1.0,0.9970909029271465
326.0,2.0,0.5999999999999998
327,1,0
330.0,1.0,1.0
334.0,1.0,0.5692099788303082
336.0,1.0,0.9761870601839526
341.0,1.0,0.9985681322700889
345.0,1.0,1.0
345,2,0
346,1,0
346.0,2.0,-1.0
347,1,0
348,1,0
353.0,1.0,-0.29454709448164645
354.0,1.0,0.9828721869343218
354,2,0
361.0,1.0,0.03677315656764607
361,2,0
361,3,0
361,4,0
361,5,0
364.0,1.0,-0.09524241471993246
364,2,0
365.0,1.0,0.9957231862861033
365.0,2.0,-0.9922778767136676
365,3,0
365,4,0
365,5,0
367.0,1.0,0.9946917938265514
