,movieId,title,genres
0,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
1,2,Jumanji (1995),Adventure|Children|Fantasy
2,3,Grumpier Old Men (1995),Comedy|Romance
3,4,Waiting to Exhale (1995),Comedy|Drama|Romance
4,5,Father of the Bride Part II (1995),Comedy
5,6,Heat (1995),Action|Crime|Thriller
6,7,Sabrina (1995),Comedy|Romance
7,8,Tom and Huck (1995),Adventure|Children
8,9,Sudden Death (1995),Action
9,10,GoldenEye (1995),Action|Adventure|Thriller
10,11,"American President, The (1995)",Comedy|Drama|Romance
11,12,Dracula: Dead and Loving It (1995),Comedy|Horror
12,13,Balto (1995),Adventure|Animation|Children
13,14,Nixon (1995),Drama
14,15,Cutthroat Island (1995),Action|Adventure|Romance
15,16,Casino (1995),Crime|Drama
16,17,Sense and Sensibility (1995),Drama|Romance
17,18,Four Rooms (1995),Comedy
18,19,Ace Ventura: When Nature Calls (1995),Comedy
19,20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
20,21,Get Shorty (1995),Comedy|Crime|Thriller
21,22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
22,23,Assassins (1995),Action|Crime|Thriller
23,24,Powder (1995),Drama|Sci-Fi
24,25,Leaving Las Vegas (1995),Drama|Romance
25,26,Othello (1995),Drama
26,27,Now and Then (1995),Children|Drama
27,28,Persuasion (1995),Drama|Romance
28,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
30,31,Dangerous Minds (1995),Drama
31,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
32,33,Babe (1995),Children|Drama
33,34,Dead Man Walking (1995),Crime|Drama
34,35,It Takes Two (1995),Children|Comedy
35,36,Clueless (1995),Comedy|Romance
36,37,"Cry, the Beloved Country (1995)",Drama
37,38,Richard III (1995),Drama|War
38,39,Dead Presidents (1995),Action|Crime|Drama
39,40,Restoration (1995),Drama
40,41,Mortal Kombat (1995),Action|Adventure|Fantasy
41,42,To Die For (1995),Comedy|Drama|Thriller
42,43,How to Make an American Quilt (1995),Drama|Romance
43,44,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
44,45,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
45,46,When Night Is Falling (1995),Drama|Romance
46,47,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
47,48,Mighty Aphrodite (1995),Comedy|Drama|Romance
48,49,Lamerica (1994),Adventure|Drama
49,50,"Big Green, The (1995)",Children|Comedy
50,51,Georgia (1995),Drama
51,52,Home for the Holidays (1995),Drama
52,53,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
53,54,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
54,55,Eye for an Eye (1996),Drama|Thriller
55,56,Mr. Holland's Opus (1995),Drama
56,57,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
57,58,Two if by Sea (1996),Comedy|Romance
58,59,Bio-Dome (1996),Comedy
59,60,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
60,61,French Twist (Gazon maudit) (1995),Comedy|Romance
61,62,Friday (1995),Comedy
62,63,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
63,64,Fair Game (1995),Action
64,65,Kicking and Screaming (1995),Comedy|Drama
65,66,"Misérables, Les (1995)",Drama|War
66,67,Bed of Roses (1996),Drama|Romance
67,68,Big Bully (1996),Comedy|Drama
68,69,Screamers (1995),Action|Sci-Fi|Thriller
69,70,Nico Icon (1995),Documentary
70,71,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller
71,72,"Juror, The (1996)",Drama|Thriller
72,73,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama
